WKT,ID,LINEASUB
"LINESTRING (-58.4521256031295 -34.5662152424041,-58.4516295768312 -34.5664769668698,-58.4490265638751 -34.5678793135606,-58.4446681474259 -34.5700123091016)",1,LINEA D
"LINESTRING (-58.4564891346517 -34.5623090880051,-58.4552832314547 -34.5637017066676,-58.4542954219077 -34.564879858685,-58.4540199050523 -34.5651812402078,-58.4537653834182 -34.5653812458169,-58.4534087763102 -34.565570332104,-58.452322105821 -34.5661115582544,-58.4521256031295 -34.5662152424041)",2,LINEA D
"LINESTRING (-58.4446681474259 -34.5700123091016,-58.4425234309798 -34.5711033736616,-58.4384420881504 -34.573353159536,-58.4370717110138 -34.5741572402367,-58.4350135329444 -34.5751783653176)",3,LINEA D
"LINESTRING (-58.4350135329444 -34.5751783653176,-58.4342284308192 -34.575547643712,-58.4330236969816 -34.5760959481736,-58.4316836229253 -34.5765770423172,-58.4301946662736 -34.5770133078614,-58.4286921641309 -34.5774383563886,-58.4274197592265 -34.5778074714533,-58.4265398976036 -34.5780647270228,-58.4259848803943 -34.5782884787292,-58.4257114410852 -34.5784220229043)",4,LINEA D
"LINESTRING (-58.4257114410852 -34.5784220229043,-58.4253892291839 -34.5785793856355,-58.4237781388985 -34.5796200637664,-58.4214358544587 -34.5812202451926,-58.4211960117166 -34.5814111944924)",5,LINEA D
"LINESTRING (-58.4211960117166 -34.5814111944924,-58.4201492730883 -34.5822445330879,-58.4181662515136 -34.5836069033342,-58.4162309335389 -34.5849692567775,-58.4159554193518 -34.5851559440762)",6,LINEA D
"LINESTRING (-58.4159554193518 -34.5851559440762,-58.415036276739 -34.5857787408077,-58.4140566698891 -34.5863907542961,-58.4124557912308 -34.587437109631,-58.4112939023419 -34.588237109769)",7,LINEA D
"LINESTRING (-58.4112939023419 -34.588237109769,-58.4111654755329 -34.5883255343808,-58.410114107872 -34.5890165025937,-58.4090147978088 -34.5899642408676,-58.4079393854295 -34.5908527179855,-58.4071613212558 -34.5916278450705)",8,LINEA D
"LINESTRING (-58.4071613212558 -34.5916278450705,-58.4071267531439 -34.5916622822405,-58.4061229577461 -34.5925507724212,-58.4050714192995 -34.5933602190904,-58.4036616004114 -34.5940904816075,-58.402395343648 -34.59442571848)",9,LINEA D
"LINESTRING (-58.3979237565357 -34.5997570806249,-58.3975184208184 -34.5997568788546,-58.3971601031545 -34.599736946118,-58.3957984649804 -34.5996967464261,-58.3943890344228 -34.5996762612353,-58.3931251823401 -34.599639553207)",10,LINEA D
"LINESTRING (-58.3851423596596 -34.6015871649049,-58.3846402456467 -34.6020807046704,-58.3842099172285 -34.6024360099132,-58.3837079854456 -34.602712254519,-58.383229978044 -34.6029490049414,-58.3826802772956 -34.6032054629756,-58.3817481550415 -34.603659214861,-58.3810072331624 -34.6040143126446,-58.3805743445213 -34.6042452037712)",11,LINEA D
"LINESTRING (-58.3805743445213 -34.6042452037712,-58.379453589789 -34.6048429709947,-58.3753183944159 -34.6070131265178,-58.373955806103 -34.6078023367265)",12,LINEA D
"LINESTRING (-58.3814344337621 -34.6276194522059,-58.3814633503145 -34.6270446026187,-58.3814638705594 -34.6264814667867,-58.3814785287714 -34.6259770003435,-58.3813228024593 -34.6255545497705,-58.3810677089859 -34.6251555003546,-58.3805005538368 -34.6245802706505,-58.3802029676802 -34.6240990681818,-58.3799621984299 -34.6235709727345,-58.3798776982082 -34.6228787303807,-58.3799211800979 -34.6219167333603)",13,LINEA C
"LINESTRING (-58.3778190525875 -34.5950574057746,-58.3777496867052 -34.5950349678028,-58.3775129028463 -34.5949508647174,-58.3771972417354 -34.5947874260036,-58.3769549424038 -34.5945773986061,-58.3767094619313 -34.5943379782818,-58.3758840360922 -34.5933629649141,-58.374018216823 -34.5911938093721)",14,LINEA C
"LINESTRING (-58.3781557831942 -34.601769923798,-58.3781680004046 -34.6015556908554,-58.3782647279514 -34.5989205511752,-58.3783920737029 -34.5970902713869,-58.3784399026142 -34.5963244057953,-58.3784562488232 -34.5956493885823,-58.3784417525907 -34.5954181453203,-58.3783754507468 -34.5952825554147,-58.3782176387438 -34.5951798506404,-58.377980840507 -34.5951097395555,-58.3778190525875 -34.5950574057746)",15,LINEA C
"LINESTRING (-58.3795299795777 -34.6048437404279,-58.3792278351539 -34.6048227247676,-58.3788870767588 -34.6047885033338,-58.3785417451735 -34.6047233712552,-58.3782750125839 -34.6045544395076,-58.3780398417782 -34.6042167712282,-58.3780562179307 -34.603515792463,-58.3781557831942 -34.601769923798)",16,LINEA C
"LINESTRING (-58.3799211800979 -34.6219167333603,-58.3799930794723 -34.6209195595487,-58.3800651299052 -34.6197581367898,-58.3801657044568 -34.6184442159802,-58.3801736103442 -34.6181255988278)",17,LINEA C
"LINESTRING (-58.3801736103442 -34.6181255988278,-58.3802099513615 -34.6166609774921,-58.380253877736 -34.6152179674991,-58.3803401101376 -34.6140565517797,-58.38044447085 -34.612617280313)",18,LINEA C
"LINESTRING (-58.3742677265724 -34.6085590738884,-58.3790851527922 -34.6088817222436)",19,LINEA A
"LINESTRING (-58.3790851527922 -34.6088817222436,-58.3822324012181 -34.6090998072553)",20,LINEA A
"LINESTRING (-58.3822324012181 -34.6090998072553,-58.3867771943587 -34.6094125867903)",21,LINEA A
"LINESTRING (-58.401207533951 -34.6098335787885,-58.4037640359199 -34.6100132507563,-58.4053775021119 -34.6100891207097,-58.405718391564 -34.6100798740825,-58.4060138476586 -34.6100424228276,-58.406377521237 -34.6099392368543,-58.4067071171961 -34.6098172463933)",22,LINEA A
"LINESTRING (-58.3926688243391 -34.6092256841813,-58.3984269926835 -34.6096459625334)",23,LINEA A
"LINESTRING (-58.3984269926835 -34.6096459625334,-58.401207533951 -34.6098335787885)",24,LINEA A
"LINESTRING (-58.4067071171961 -34.6098172463933,-58.4070417969185 -34.6096593823289,-58.407477757396 -34.6095647222056,-58.4079366002102 -34.6095649130887,-58.408441214434 -34.6097548071924,-58.4087622364744 -34.6100394668991,-58.4089915250607 -34.610267183329,-58.4095879617293 -34.6103812357041,-58.4151857086427 -34.6107816902173)",25,LINEA A
"LINESTRING (-58.3867771943587 -34.6094125867903,-58.387152139075 -34.6094409906664,-58.3875611798128 -34.609460018371,-58.3878679724182 -34.609460196272,-58.3880612176799 -34.6093663613694,-58.3881749554822 -34.6092349010256,-58.3882659518793 -34.6091222171686,-58.3883787775545 -34.6090715462084,-58.3886196687404 -34.6090716843449,-58.3911775629727 -34.6092533235118,-58.3915331662723 -34.6092535191047,-58.3917970232356 -34.6092252109343,-58.3919805831288 -34.6091968580974,-58.3926688243391 -34.6092256841813)",26,LINEA A
"LINESTRING (-58.3736842240469 -34.6092424297606,-58.3775808866363 -34.6128491070751)",27,LINEA E
"LINESTRING (-58.3775808866363 -34.6128491070751,-58.3808217691634 -34.6152367746463,-58.3811337899004 -34.6155274293537,-58.3814067159983 -34.6158826042228,-58.3815754585345 -34.6163345318478,-58.3816141479121 -34.6167110736758,-58.3815349422618 -34.617937394317)",28,LINEA E
"LINESTRING (-58.385148550285 -34.6223394920484,-58.3871915203641 -34.622459036808,-58.3891043732532 -34.6225677156333,-58.3915117004694 -34.6227196674666)",29,LINEA E
"LINESTRING (-58.3915117004694 -34.6227196674666,-58.3937759070396 -34.6228499812016,-58.3963654049598 -34.6230449641164,-58.3970680759498 -34.6231098658106)",30,LINEA E
"LINESTRING (-58.3970680759498 -34.6231098658106,-58.3992801179879 -34.6234229300793,-58.4021818667126 -34.6237685478248,-58.4029365807092 -34.6238657122988)",31,LINEA E
"LINESTRING (-58.4029365807092 -34.6238657122988,-58.4093907837292 -34.6246537866685)",32,LINEA E
"LINESTRING (-58.4093907837292 -34.6246537866685,-58.415532819778 -34.6253661068623)",33,LINEA E
"LINESTRING (-58.3750715187716 -34.6032972862158,-58.3807148483638 -34.6036371051614)",34,LINEA B
"LINESTRING (-58.3807148483638 -34.6036371051614,-58.3872961341576 -34.604093553428)",35,LINEA B
"LINESTRING (-58.3872961341576 -34.604093553428,-58.392314235117 -34.6044195433043)",36,LINEA B
"LINESTRING (-58.392314235117 -34.6044195433043,-58.3967853420157 -34.6045511518089,-58.3994742577363 -34.6046429678427)",37,LINEA B
"LINESTRING (-58.3994742577363 -34.6046429678427,-58.4036327232831 -34.6047612475446,-58.405399440292 -34.60458105578)",38,LINEA B
"LINESTRING (-58.405399440292 -34.60458105578,-58.4078228460911 -34.6042589193853,-58.4089172786859 -34.6041171758425,-58.4103399888427 -34.6040143319433,-58.4117626011356 -34.6040795184799)",39,LINEA B
